Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
1,1,3,1,1,25.421,Bob told Sue outside of Paperworld that she could buy an Italian newspaper there. He is trustworthy and usually well informed so she believes him even though he was incorrect about them selling the Italian newspaper.,21,35,2,,,,,,1,,,2,5,Error Case - Where to negated,
2,1,3,1,7,23.227,"Sue wanted to buy an italian newspaper, asked bob who was anative but he misinformed her and directed her to a shop that sold stationary",21,44,1,,,,,,1,,,4,5,Error Case - Where to negated,
3,1,3,1,6,24.567,"Sue wanted to buy a newspaper, her local friend bob sent her to an office supply store to buy one, but they don't sell them there.",21,,,,,,,,,,,,8,Error Case - Where to negated,
4,1,3,1,4,28.334,Sue was near Paperworld. Bob told her that she can buy an Italian newspaper there. He was wrong. They only sell stationary.,21,29,2,,,,,,1,,,5,4,Error Case - Where to negated,
5,1,3,1,5,64.21,She was standing outside Paperworld and Bob told her she could buy an Italian paper there but it was really stationary.,21,37,2,,,,,,1,,,5,6,Error Case - Where to negated,
6,1,3,1,7,170.555,"Sue's friend told her she could buy an Italian newspaper at PaperWorld. Sue's friend Bob is always right. However, PaperWorld only sells stationary and paper, not newspapers.",21,32,2,,,,,,1,,,2,6,Error Case - Where to negated,
7,1,3,1,3,21.2,"Sue needs to buy a Italian newspaper and she asks her native friend Bob, and he told her two different stores. However one store actually sold stationary not newspapers",21,20,2,,,,,,1,,,4,4,Error Case - Where to negated,
8,1,3,1,7,45.303,"SUe was standing near a store called Paperworld and asked her friend, who is usually knowledgab;e, where to buy an Italian newspaper.  She was told Paperworld, but after going in found that they don'e sell any newspapers.",21,43,2,,,,,,1,,,5,5,Error Case - Where to negated,
9,1,3,1,7,18.417,"Sue was in an unfamiliar city and asked her friend Bob, who is very familiar with the city, where to buy an italian newspaper. He told her to go to Paperworld but it turned out to just sell stationery type items.",21,28,2,,,,,,1,,,5,7,Error Case - Where to negated,
10,1,3,1,5,20.749,Bob told Sue that she can buy an Italian newspaper at Paperworld but it only sells stationary.,21,33,2,,,,,,1,,,4,7,Error Case - Where to negated,
11,1,3,1,2,32.855,Bob wrongly told Sue she could buy an Italian paper at Paper World.,21,30,1,,,,,,1,,,3,7,Error Case - Where to negated,
12,1,3,1,6,744.354,Sue was looking for a newspaper and is near a store called Paperworld. Her friend Bob told her that she can buy the paper at Paperworld in Italian but the store actually sells office stationary.,21,31,1,,,,,,,1,Hebrew Israelite,5,7,Error Case - Where to negated,
13,1,3,1,7,25.016,"Sue's friend Bob told her that she can get an Italian newspaper at a store called paperworld but when she go their she found out that they don't sell newspapers, they only sell stationary and other supplies.",21,33,1,,,,,,1,,,2,8,Error Case - Where to negated,
14,1,3,1,7,53.043,"Sue wants to by a newspaper, friend told her the wrong place.",21,36,1,,,,,,1,,,2,8,Error Case - Where to negated,
15,1,3,1,7,22.234,"Sue wanted to buy an Italian newspaper.  Someone suggested that Paperworld had Italian newspapers, but their information was incorrect.",21,23,1,,,,,,1,,,4,7,Error Case - Where to negated,
16,1,3,1,7,22.674,This girl wanted to buy Italian newspaper and her friend said she could find it at a store but they were wrong.,21,36,2,,,1,,,,,,4,8,Error Case - Where to negated,
17,1,3,1,6,69.297,"Sue was told by her friend Bob, who is a native of the city she is currently in, that she could find an Italian newspaper at a place called Paperworld.  She assumed that he was right, so she went there and is now standing outside the place, but it only sells stationary and office supplies.  Bob was wrong...he was WRONG!",21,38,1,,,,,,1,,,5,7,Error Case - Where to negated,
18,1,3,1,6,26.805,Sue's friend misinformed her when he said that Sue would be able to buy an Italian newspaper at a store called Paperworld.,21,29,1,,,,,,1,,,5,5,Error Case - Where to negated,
19,1,3,1,6,50.355,"Sue wanted to buy an Italian newspaper. Bob, her friend and lifelong resident of the city, told her she could buy one at Paperworld when in reality, she couldn't.",21,19,1,,,,1,,1,,,4,7,Error Case - Where to negated,
20,1,3,1,7,39.163,"Sue is looking to buy an Italian newspaper, she's told by a reliable friend that she can buy the paper at a store near her called Paperworld. Bob has misinformed her though as she can't buy a newspaper there.",21,30,1,,,,,,1,,,2,7,Error Case - Where to negated,
21,1,3,1,6,87.554,"Sue wanted to buy a newspaper. Her friend sent her to a store named paperworld, turned out the store only sold stationery and such no newspapers. ",21,34,2,,,,,,1,,,4,5,Error Case - Where to negated,
22,1,3,1,7,20.327,"Sue wants to buy an Italian newspaper and asks a friend where she could get one. He tells her Paperworld, but in fact, Paperworld does not sell newspapers at all.",21,32,2,,,,,,1,,,4,4,Error Case - Where to negated,
23,1,3,1,7,37.467,Sue asked Bob where she could buy an Italian paper. The place he told her that would have them does not sell newspapers at all. ,21,36,1,,,,,,1,,,5,4,Error Case - Where to negated,
24,1,3,1,7,67.673,"Bob told Sue she could but Italian newspapers at paperworld, but Bob was wrong.",21,38,1,,,,,,1,,,2,7,Error Case - Where to negated,
25,1,3,1,4,38.455,"Bob told Sue she could buy an Italian newspaper at Paperworld, but he was wrong.  Sue trusts Bob normally because he is usually right having lived in the area so long, but he was wrong this time",21,37,2,,,,,,1,,,4,5,Error Case - Where to negated,
26,1,3,1,7,75.132,Sue was standing by Paperworld and Bob told her she could buy an Italian newspaper there.,21,37,1,,,,,,1,,,5,5,Error Case - Where to negated,
27,1,3,1,7,25.716,"Bob mislead, probably unintentionally, Sue into thinking she could buy an Italian newspaper at a stationary store called Paperworld.",21,33,1,,,,,,1,,,4,5,Error Case - Where to negated,
28,1,3,1,4,33.838,"Sue's friend told her that she could buy an Italian newspaper at a certain store. However, it turned out the store doesn't even sell newspapers.",21,18,1,,,,,,1,,,2,6,Error Case - Where to negated,
29,1,3,1,6,22.878,"Sue is new in town and is looking to get a newspaper. Bob tells her, but is wrong and Sue is out of luck. ",21,24,1,,,,,,1,,,5,4,Error Case - Where to negated,
30,1,3,1,1,88.303,Sue is a friends of Bob's a guy know to be trust worthy. However when Sue wanted an Italian news paper Bob mislead her to Paperworld a place where stationary items are sold.,21,21,1,,1,,,,,,,4,6,Error Case - Where to negated,
31,1,3,1,7,72.181,"the story is a about a girl who was given information from someone about where to buy a specific newspaper, and the information was wrong.",21,61,1,,1,,,,,,,3,9,Error Case - Where to negated,
32,1,3,1,4,12.006,bob wated to buy newspapers but sue misinformed him,21,20,1,,,,1,,,,,1,5,Error Case - Where to negated,
33,1,3,1,6,51.526,"Sue was told by Bob she could buy an Italian newspaper at a certain store called Paperworld, but they really just sell office staionary and no newspapers.",21,27,1,,,,,,1,,,6,5,Error Case - Where to negated,
34,1,3,1,6,35.59,Sue wants to buy a certain newspaper and Bob leads her to a certain shop but in actuality it does not carry newspapers.,21,33,1,,,,1,,,,,5,5,Error Case - Where to negated,
35,1,3,1,6,46.657,Bob has mislead Sue into thinking a specific store sells newspapers when they do in fact not.,21,22,1,,,,,,1,,,4,4,Error Case - Where to negated,
36,1,3,1,5,47.525,"Sue was standing by Paperworld, her friend told her that this store sells Italian newspapers. Sue went in and found out that the store does not sell newspapers.",21,28,1,,,,1,,,,,5,5,Error Case - Where to negated,
37,1,3,1,4,38.794,"Sue was informed by Bob while standing on a streetcorner that she can buy an Italian newspaper at the store that was nearby, but Bob was wrong because the store actually sells office supplies.",21,24,1,,,,,,1,,,5,7,Error Case - Where to negated,
38,1,3,1,6,35.217,"Sue was told where to buy an Italian newspaper, but was misinformed by Bob, who was incorect as to what Paperworld sold.",21,33,1,,,,,,1,,,2,8,Error Case - Where to negated,
39,1,3,1,4,44.184,Bob told Sue that she could buy an Italian newspaper at Paperworld but later Sue found out Paperworld was actually a Stationary store.  This is odd because Bob is usually a pretty reliable guy.,21,23,1,,,,1,,,,,4,7,Error Case - Where to negated,
40,1,3,1,5,24.906,Sue wants a paper but she can't trust anyone about where to get it.,21,22,1,,,,,,1,,,4,5,Error Case - Where to negated,
41,1,3,1,7,23.877,sue tries to buy italian oaoer bob says at aperword and its basically an officemax,21,20,1,,,,,,1,,,4,8,Error Case - Where to negated,
42,1,3,1,7,33.711,"Sue's friend offers her advice on where to buy an Italian Newspaper. She goes, but the store doesn't have it.",21,19,1,,,,,,1,,,4,5,Error Case - Where to negated,
43,1,3,1,7,72.265,Sue's friend told her that she could purchase an Italian newspaper at Paperworld which turned out to be a stationary store. Her friend typically has good advice but was wrong in this instance.,21,25,2,,,,,,1,,,5,4,Error Case - Where to negated,
44,1,3,1,6,20.552,Bob told Sue she could get an italian newspaper at paperworld but he lied.,21,31,1,,,,,,1,,,5,4,Error Case - Where to negated,
