Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
1,3,3,1,33.353,Sue is standing infront of a store called Paperworld because her friend Bob who is normally very trustworthy has told her that she can buy an Italian newspaper there. He lied to her but she doesn't know this yet.,21,37,2,,,,,,1,,,2,5,Error Case - Should,
1,3,3,3,45.399,sue thought she could buy an italian paper at paperworld,21,52,1,,,,,,1,,,4,9,Error Case - Should,
1,3,3,1,29.283,"Sue's friend Bob tells her that she can purchase an Italian newspaper at a specific store.  Sue has not reason to doubt Bob, so she goes to the store only to discover that the store does not sell Italian newspapers",21,22,1,,,,,,1,,,4,3,Error Case - Should,
1,3,3,1,25.701,a local man told the woman where to buy an italian newspaper and was wrong.,21,27,1,,,,,,1,,,4,8,Error Case - Should,
1,3,3,1,26.05,Sue's friend misinformed her about where she could buy an italian newspaper.,21,34,,,,,,,1,,,5,6,Error Case - Should,
1,3,3,1,44.057,Sue is told by a friend that she can buy an italian newspaper at paperworld but he is mistaken and they don't sell newspapers there.,21,42,1,,,,,,1,,,5,10,Error Case - Should,
1,3,3,2,22.59,Sue's friend told her she could buy a paper at paperworld but paperworld doesn't sell papers,21,21,1,,,,,,1,,,3,5,Error Case - Should,
1,3,3,2,43.217,Sue wanted an Italian newspaper so she asked her friend bob where she can get one and he said paperworld he was wrong,21,21,1,,1,,,,,,,4,9,Error Case - Should,
1,3,3,5,25.14,Sue was told by Bob where she could buy an Italian newspaper but Bob was wrong and Sue was given bad information.,21,23,1,,,,1,,,,,5,6,Error Case - Should,
1,3,3,1,14.392,girl asked her friend where to buy a paper but the place he said didn't sell what she was looking for,21,21,2,,,,,,1,,,2,7,Error Case - Should,
1,3,3,2,33.101,"A friend of Sue's told her that she could buy a newspaper at a place that does not sell newspapers. He wasn't lying, but was simply wrong.",21,22,1,,,,,,1,,,2,8,Error Case - Should,
